ea_year,lea_code,lea_name,school_code,school_name,grade,new_lea_code,new_lea_name,new_school_code,new_school_name,new_grade,count
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,PS,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,PS,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,PK,26
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,PK,,Other Outcome,,Other Outcome,,13
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,PK,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,KG,23
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,KG,,Other Outcome,,Other Outcome,,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,KG,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,1,34
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,1,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,1,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,2,23
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,2,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,2,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,3,16
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,3,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,3,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,4,23
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,4,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,4,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,4,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,5,21
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,5,,Other Outcome,,Other Outcome,,11
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,202,AITON ES,5,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,421,KELLY MILLER MS,6,18
